SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_PHONE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT
100002,Cash loans,M,N,Y,No child,202500.0,406597.5,24700.5,351000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Not Married,Owner,0.018801,1,0,1,1.0,2
100003,Cash loans,F,N,N,No child,270000.0,1293502.5,35698.5,1129500.0,Family,Public worker,Higher education,Married,Owner,0.0035409999999999,1,0,1,2.0,1
100004,Revolving loans,M,Y,Y,No child,67500.0,135000.0,6750.0,135000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Not Married,Owner,0.010032,1,1,1,1.0,2
100006,Cash loans,F,N,Y,No child,135000.0,312682.5,29686.5,297000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Married,Owner,0.008019,1,0,0,2.0,2
100007,Cash loans,M,N,Y,No child,121500.0,513000.0,21865.5,513000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Not Married,Owner,0.028663,1,0,0,1.0,2
100008,Cash loans,M,N,Y,No child,99000.0,490495.5,27517.5,454500.0,Family,Public worker,Lower Secondary & Secondary,Married,Owner,0.035792,1,1,1,2.0,2
100009,Cash loans,F,Y,Y,One child,171000.0,1560726.0,41301.0,1395000.0,Unaccompanied,Commercial associate,Higher education,Married,Owner,0.035792,1,0,1,3.0,2
100010,Cash loans,M,Y,Y,No child,360000.0,1530000.0,42075.0,1530000.0,Unaccompanied,Public worker,Higher education,Married,Owner,0.0031219999999999,1,1,0,2.0,3
100011,Cash loans,F,N,Y,No child,112500.0,1019610.0,33826.5,913500.0,Family,Pensioner/Student/Unemployed,Lower Secondary & Secondary,Married,Owner,0.018634,0,0,0,2.0,2
100012,Revolving loans,M,N,Y,No child,135000.0,405000.0,20250.0,405000.0,Unaccompanied,Private worker,Lower Secondary & Secondary,Not Married,Owner,0.0196889999999999,1,0,0,1.0,2
100014,Cash loans,F,N,Y,One child,112500.0,652500.0,21177.0,652500.0,Unaccompanied,Private worker,Higher education,Married,Owner,0.0228,1,0,0,3.0,2
